Turbo Decoder End-to-End Report
symbols=6144 n_half_iter=11 f1=263 f2=480 total_outputs=6144 expected_outputs=6144
final_decision_symbols=6144 bit_errors_vs_original=4570
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
310 5402 0 0 11 8 -14 -58 1 ERR
311 3889 0 0 12 -16 15 13 0 OK
312 1800 0 0 8 -16 -16 -39 1 ERR
313 5279 0 0 15 -1 -16 -15 1 ERR
314 2038 1 1 -8 -16 12 48 0 ERR
315 4365 0 0 11 -7 -3 -47 1 ERR
316 6116 1 1 -16 15 -16 28 0 ERR
317 1147 0 0 6 14 -9 26 0 OK
318 1746 1 1 -14 -16 -4 -20 1 OK
319 1769 0 0 5 1 -11 -44 1 ERR
320 1216 0 0 9 -16 -3 -7 1 ERR
321 87 1 1 -16 -16 15 7 0 ERR
322 4526 0 0 12 10 15 -21 1 ERR
323 2245 0 0 6 15 -16 -21 1 ERR
324 5532 1 1 -14 15 -16 44 0 ERR
325 2099 1 1 -11 8 -4 63 0 ERR
326 4234 0 0 8 9 -16 -22 1 ERR
327 5793 0 0 15 -7 8 -22 1 ERR
328 632 0 0 15 -16 0 34 0 OK
329 1039 0 0 -2 -15 12 -64 1 ERR
330 870 0 0 11 5 15 -37 1 ERR
331 125 0 0 6 -12 -8 -47 1 ERR
332 4948 1 1 -16 -5 -16 29 0 ERR
333 3051 0 0 15 15 8 -42 1 ERR
334 578 0 0 15 8 15 -60 1 ERR
335 3673 0 0 2 -10 -9 -56 1 ERR
336 48 0 0 7 -16 8 -56 1 ERR
337 1991 0 0 15 -16 13 -64 1 ERR
338 3358 0 0 11 9 -16 -64 1 ERR
339 4149 0 0 3 -14 15 -64 1 ERR
340 4364 0 0 15 15 -16 -64 1 ERR
341 4003 1 1 -16 -1 15 63 0 ERR
342 3066 1 1 -7 13 15 63 0 ERR
343 1553 0 0 15 15 -1 -64 1 ERR
344 5608 1 1 -16 -13 -5 63 0 ERR
345 2943 1 1 -14 -11 15 58 0 ERR
346 5846 0 0 -2 -1 15 -37 1 ERR
347 2029 0 0 15 -15 -5 -39 1 ERR
348 3780 0 0 15 15 15 5 0 OK
349 4955 1 1 -6 6 11 -5 1 OK
350 5554 0 0 12 9 -16 -35 1 ERR
351 5577 0 0 15 -9 2 5 0 OK
352 5024 0 0 15 -13 15 -56 1 ERR
353 3895 0 0 0 -4 11 -20 1 ERR
354 2190 0 0 15 15 9 -16 1 ERR
355 6053 1 1 -14 6 -13 -19 1 OK
356 3196 0 0 13 15 4 -36 1 ERR
357 5907 0 0 12 -16 -16 16 0 OK
358 1898 1 1 -10 15 10 18 0 ERR
359 3457 1 1 5 1 10 44 0 ERR
360 4440 0 0 3 2 10 -46 1 ERR
361 4847 0 0 15 15 10 34 0 OK
362 4678 1 1 -13 -7 -4 33 0 ERR
363 3933 1 1 -10 10 15 35 0 ERR
364 2612 0 0 14 -6 1 -19 1 ERR
365 715 0 0 1 10 15 -10 1 ERR
366 4386 1 1 -16 -13 7 19 0 ERR
367 1337 1 1 -16 -16 -6 -31 1 OK
368 3856 0 0 10 -8 -16 -41 1 ERR
369 5799 0 0 7 -8 -12 -25 1 ERR
370 1022 1 1 -15 -16 -16 -64 1 OK
371 1813 0 0 15 -16 13 -16 1 ERR
372 2028 1 1 -5 15 -11 27 0 ERR
373 1667 1 1 -5 -13 -10 21 0 ERR
374 730 1 1 -15 -16 10 6 0 ERR
375 5361 1 1 -13 13 13 18 0 ERR
376 3272 0 0 13 -13 15 -64 1 ERR
377 607 1 1 -13 11 -16 -6 1 OK
378 3510 1 1 -14 15 15 56 0 ERR
379 5837 0 0 14 -16 -12 -58 1 ERR
380 1444 1 1 -11 -15 -16 -64 1 OK
381 2619 1 1 -16 -16 1 -11 1 OK
382 3218 0 0 15 11 -16 -64 1 ERR
383 3241 1 1 -6 -11 -16 16 0 ERR
384 2688 1 1 -16 11 15 43 0 ERR
385 1559 0 0 15 15 9 -64 1 ERR
386 5998 1 1 -14 -6 -15 53 0 ERR
387 3717 1 1 -16 -10 -5 -64 1 OK
388 860 1 1 -16 2 -9 36 0 ERR
389 3571 1 1 -1 11 -4 21 0 ERR
390 5706 0 0 -1 -16 -4 -39 1 ERR
391 1121 0 0 10 5 -16 -64 1 ERR
392 2104 0 0 11 15 13 -44 1 ERR
393 2511 0 0 15 -6 6 -33 1 ERR
394 2342 0 0 2 -14 -16 -60 1 ERR
395 1597 0 0 0 -10 -3 58 0 OK
396 276 1 1 -14 -6 -16 30 0 ERR
397 4523 0 0 15 -11 14 45 0 OK
398 2050 1 1 -14 15 5 13 0 ERR
399 5145 0 0 10 12 -3 -7 1 ERR
400 1520 0 0 3 15 13 20 0 OK
401 3463 1 1 -16 -10 2 27 0 ERR
402 4830 1 1 -12 -9 -9 -15 1 OK
403 5621 1 1 -10 12 -10 -22 1 OK
404 5836 1 1 -15 9 -16 -17 1 OK
405 5475 1 1 -5 1 7 14 0 ERR
406 4538 0 0 8 12 -16 -34 1 ERR
407 3025 0 0 9 -13 15 -22 1 ERR
408 936 0 0 15 -5 -10 -15 1 ERR
409 4415 0 0 15 -16 -16 48 0 OK
410 1174 0 0 5 -2 -9 -3 1 ERR
411 3501 0 0 9 0 -15 24 0 OK
412 5252 0 0 12 3 15 -15 1 ERR
413 283 0 0 8 9 15 -24 1 ERR
414 882 1 1 -16 6 -14 37 0 ERR
415 905 0 0 0 0 -6 -24 1 ERR
416 352 0 0 6 8 -14 5 0 OK
