total_symbols=3200
rtl_coverage=3200
malformed_out_lines=0
hard_errors_vs_reference=4
sign_mismatch_vs_reference=4
mean_abs_llr_delta=0.406562
floating_coverage=3200
hard_errors_vs_floating=3
sign_mismatch_vs_floating=3
mean_abs_llr_delta_vs_floating=120800.953685

RTL vs Fixed-Point Reference (Original Domain)
idx bit_orig ref_hard rtl_hard ref_llr rtl_llr sign_match
360 0 0 0 -64.00000000 -64 OK
361 0 0 0 -64.00000000 -64 OK
362 1 1 1 63.00000000 63 OK
363 1 1 1 63.00000000 63 OK
364 0 0 0 -64.00000000 -64 OK
365 0 0 0 -64.00000000 -64 OK
366 1 1 1 63.00000000 63 OK
367 1 1 1 63.00000000 63 OK
368 0 0 0 -64.00000000 -64 OK
369 0 0 0 -64.00000000 -64 OK
370 1 1 1 63.00000000 63 OK
371 0 0 0 -64.00000000 -64 OK
372 1 1 1 63.00000000 63 OK
373 1 1 1 63.00000000 63 OK
374 1 1 1 63.00000000 63 OK
375 1 1 1 63.00000000 63 OK
376 0 0 0 -64.00000000 -64 OK
377 1 1 1 63.00000000 63 OK
378 1 1 1 63.00000000 63 OK
379 0 0 0 -64.00000000 -64 OK
380 1 1 1 63.00000000 63 OK
381 1 1 1 63.00000000 63 OK
382 0 0 0 -64.00000000 -64 OK
383 1 1 1 63.00000000 63 OK
384 1 1 1 63.00000000 63 OK
385 0 0 0 -64.00000000 -64 OK
386 1 1 1 63.00000000 63 OK
387 1 1 1 63.00000000 63 OK
388 1 1 1 63.00000000 63 OK
389 1 1 1 63.00000000 63 OK
390 0 0 0 -64.00000000 -64 OK
391 0 0 0 -64.00000000 -64 OK
392 0 0 0 -64.00000000 -64 OK
393 0 0 0 -64.00000000 -64 OK
394 0 0 0 -64.00000000 -64 OK
395 0 0 0 -37.00000000 -64 OK
396 1 1 1 61.00000000 63 OK
397 0 0 0 -44.00000000 -64 OK
398 1 1 1 51.00000000 63 OK
399 0 0 0 -39.00000000 -64 OK
400 0 0 0 -33.00000000 -64 OK
401 1 1 1 44.00000000 63 OK
402 1 1 1 59.00000000 63 OK
403 1 1 1 42.00000000 63 OK
404 1 1 1 13.00000000 63 OK
405 1 1 1 63.00000000 63 OK
406 0 0 0 -64.00000000 -64 OK
407 0 0 0 -50.00000000 -64 OK
408 0 0 0 -64.00000000 -64 OK
409 0 0 0 -64.00000000 -64 OK
410 0 0 0 -64.00000000 -64 OK
411 0 0 0 -64.00000000 -64 OK
412 0 0 0 -64.00000000 -64 OK
413 0 0 0 -64.00000000 -64 OK
414 1 1 1 63.00000000 63 OK
415 0 0 0 -64.00000000 -64 OK
416 0 0 0 -64.00000000 -64 OK
417 0 0 0 -64.00000000 -64 OK
418 1 1 1 63.00000000 63 OK
419 1 1 1 63.00000000 63 OK
420 0 0 0 -64.00000000 -64 OK
421 1 1 1 63.00000000 63 OK
422 0 0 0 -64.00000000 -64 OK
423 0 0 0 -64.00000000 -64 OK
424 1 1 1 63.00000000 63 OK
425 0 0 0 -64.00000000 -64 OK
426 0 0 0 -64.00000000 -64 OK
427 1 1 1 63.00000000 63 OK
428 0 0 0 -64.00000000 -64 OK
429 0 0 0 -64.00000000 -64 OK
430 1 1 1 63.00000000 63 OK
431 0 0 0 -64.00000000 -64 OK
432 0 0 0 -64.00000000 -64 OK
433 1 1 1 63.00000000 63 OK
434 0 0 0 -64.00000000 -64 OK
435 1 1 1 63.00000000 63 OK
436 0 0 0 -64.00000000 -64 OK
437 0 0 0 -64.00000000 -64 OK
438 0 0 0 -64.00000000 -64 OK
439 0 0 0 -64.00000000 -64 OK
440 0 0 0 -64.00000000 -64 OK
441 0 0 0 -64.00000000 -64 OK
442 0 0 0 -64.00000000 -64 OK
443 1 1 1 63.00000000 63 OK
444 0 0 0 -64.00000000 -64 OK
445 0 0 0 -64.00000000 -64 OK
446 1 1 1 63.00000000 63 OK
447 1 1 1 63.00000000 63 OK
448 0 0 0 -64.00000000 -64 OK
449 0 0 0 -64.00000000 -64 OK
450 1 1 1 63.00000000 63 OK
451 1 1 1 63.00000000 63 OK
452 0 0 0 -64.00000000 -64 OK
453 1 1 1 63.00000000 63 OK
454 1 1 1 63.00000000 63 OK
455 1 1 1 63.00000000 63 OK
456 1 1 1 63.00000000 63 OK
457 0 0 0 -64.00000000 -64 OK
458 1 1 1 63.00000000 63 OK
459 0 0 0 -64.00000000 -64 OK
460 1 1 1 63.00000000 63 OK
461 0 0 0 -64.00000000 -64 OK
462 1 1 1 63.00000000 63 OK
463 1 1 1 63.00000000 63 OK
464 1 1 1 63.00000000 63 OK
465 1 1 1 63.00000000 63 OK
466 1 1 1 63.00000000 63 OK
467 0 0 0 -64.00000000 -64 OK
468 0 0 0 -64.00000000 -64 OK
469 1 1 1 63.00000000 63 OK
470 1 1 1 63.00000000 63 OK
471 0 0 0 -64.00000000 -64 OK
472 1 1 1 63.00000000 63 OK
473 1 1 1 63.00000000 63 OK
474 0 0 0 -64.00000000 -64 OK
475 1 1 1 63.00000000 63 OK
476 0 0 0 -64.00000000 -64 OK
477 0 0 0 -64.00000000 -64 OK
478 1 1 1 63.00000000 63 OK
479 1 1 1 63.00000000 63 OK
480 1 1 1 63.00000000 63 OK
481 0 0 0 -64.00000000 -64 OK
482 1 1 1 63.00000000 63 OK
483 1 1 1 63.00000000 63 OK
484 0 0 0 -64.00000000 -64 OK
485 0 0 0 -64.00000000 -64 OK
486 0 0 0 -64.00000000 -64 OK
487 1 1 1 63.00000000 63 OK
488 0 0 0 -64.00000000 -64 OK
489 0 0 0 -64.00000000 -64 OK
490 1 1 1 63.00000000 63 OK
491 0 0 0 -64.00000000 -64 OK
492 0 0 0 -64.00000000 -64 OK
493 0 0 0 -64.00000000 -64 OK
494 0 0 0 -64.00000000 -64 OK
495 1 1 1 63.00000000 63 OK
496 1 1 1 63.00000000 63 OK
497 0 0 0 -64.00000000 -64 OK
498 1 1 1 63.00000000 63 OK
499 0 0 0 -64.00000000 -64 OK
500 1 1 1 63.00000000 63 OK
501 0 0 0 -64.00000000 -64 OK
502 1 1 1 63.00000000 63 OK
503 0 0 0 -64.00000000 -64 OK
504 1 1 1 63.00000000 63 OK
505 1 1 1 63.00000000 63 OK
506 1 1 1 63.00000000 63 OK
507 1 1 1 63.00000000 63 OK
508 0 0 0 -64.00000000 -64 OK
509 1 1 1 63.00000000 63 OK
510 0 0 0 -64.00000000 -64 OK
511 1 1 1 63.00000000 63 OK
512 1 1 1 63.00000000 63 OK
513 1 1 1 63.00000000 63 OK
514 1 1 1 63.00000000 63 OK
515 1 1 1 63.00000000 63 OK
516 0 0 0 -64.00000000 -64 OK
517 0 0 0 -64.00000000 -64 OK
518 0 0 0 -64.00000000 -64 OK
519 0 0 0 -64.00000000 -64 OK
520 1 1 1 63.00000000 63 OK
521 0 0 0 -64.00000000 -64 OK
522 0 0 0 -64.00000000 -64 OK
523 0 0 0 -64.00000000 -64 OK
524 0 0 0 -64.00000000 -64 OK
525 0 0 0 -64.00000000 -64 OK
526 0 0 0 -64.00000000 -64 OK
527 0 0 0 -64.00000000 -64 OK
528 0 0 0 -64.00000000 -64 OK
529 0 0 0 -64.00000000 -64 OK
530 1 1 1 63.00000000 63 OK
531 0 0 0 -64.00000000 -64 OK
532 0 0 0 -64.00000000 -64 OK
533 0 0 0 -64.00000000 -64 OK
534 1 1 1 63.00000000 63 OK
535 1 1 1 63.00000000 63 OK
536 1 1 1 63.00000000 63 OK
537 1 1 1 63.00000000 63 OK
538 0 0 0 -64.00000000 -64 OK
539 0 0 0 -64.00000000 -64 OK
540 1 1 1 63.00000000 63 OK
541 1 1 1 63.00000000 63 OK
542 1 1 1 63.00000000 63 OK
543 1 1 1 63.00000000 63 OK
544 1 1 1 63.00000000 63 OK
545 0 0 0 -64.00000000 -64 OK
546 1 1 1 63.00000000 63 OK
547 0 0 0 -64.00000000 -64 OK
548 1 1 1 63.00000000 63 OK
549 1 1 1 63.00000000 63 OK
550 1 1 1 63.00000000 63 OK
551 0 0 0 -64.00000000 -64 OK
552 0 0 0 -64.00000000 -64 OK
553 1 1 1 63.00000000 63 OK
554 1 1 1 63.00000000 63 OK
555 0 0 0 -64.00000000 -64 OK
556 1 1 1 63.00000000 63 OK
557 0 0 0 -64.00000000 -64 OK
558 1 1 1 63.00000000 63 OK
559 1 1 1 63.00000000 63 OK
560 0 0 0 -64.00000000 -64 OK
561 1 1 1 63.00000000 63 OK
562 1 1 1 63.00000000 63 OK
563 0 0 0 -64.00000000 -64 OK
564 0 0 0 -64.00000000 -64 OK
565 1 1 1 63.00000000 63 OK
