total_symbols=6144
rtl_coverage=6144
rtl_bit_errors_vs_original=4570
rtl_ber_vs_original=0.74381510
fixed_reference_bit_errors_vs_original=6141
fixed_reference_ber_vs_original=0.99951172
hard_errors_vs_reference=1571
sign_mismatch_vs_reference=1571
mean_abs_llr_delta=40.471354
floating_coverage=6144
floating_reference_bit_errors_vs_original=6139
floating_reference_ber_vs_original=0.99918620
hard_errors_vs_floating=1573
sign_mismatch_vs_floating=1573
mean_abs_llr_delta_vs_floating=52215.269648

RTL vs Fixed-Point Reference (Original Domain)
idx bit_orig ref_hard rtl_hard ref_llr rtl_llr sign_match rtl_match_orig ref_match_orig
246 1 0 0 63.00000000 28 OK ERR ERR
247 1 0 1 63.00000000 -19 ERR OK ERR
248 1 0 1 63.00000000 -16 ERR OK ERR
249 1 0 0 63.00000000 18 OK ERR ERR
250 1 0 0 63.00000000 25 OK ERR ERR
251 1 0 0 63.00000000 31 OK ERR ERR
252 1 0 1 63.00000000 -2 ERR OK ERR
253 0 1 1 -64.00000000 -23 OK ERR ERR
254 0 1 1 -64.00000000 -23 OK ERR ERR
255 1 0 0 63.00000000 6 OK ERR ERR
256 0 1 1 -64.00000000 -1 OK ERR ERR
257 0 1 0 -64.00000000 1 ERR OK ERR
258 0 1 1 -64.00000000 -41 OK ERR ERR
259 1 0 0 63.00000000 1 OK ERR ERR
260 1 0 1 63.00000000 -64 ERR OK ERR
261 1 0 0 63.00000000 2 OK ERR ERR
262 1 0 0 63.00000000 30 OK ERR ERR
263 0 1 0 -64.00000000 33 ERR OK ERR
264 1 0 0 63.00000000 40 OK ERR ERR
265 1 0 0 63.00000000 58 OK ERR ERR
266 0 1 1 -64.00000000 -36 OK ERR ERR
267 0 1 0 -64.00000000 11 ERR OK ERR
268 0 1 1 -64.00000000 -52 OK ERR ERR
269 1 0 1 63.00000000 -13 ERR OK ERR
270 1 0 0 63.00000000 21 OK ERR ERR
271 1 0 1 63.00000000 -3 ERR OK ERR
272 0 1 0 -64.00000000 15 ERR OK ERR
273 0 1 1 -64.00000000 -26 OK ERR ERR
274 1 0 0 63.00000000 43 OK ERR ERR
275 0 1 1 -64.00000000 -27 OK ERR ERR
276 1 0 0 63.00000000 49 OK ERR ERR
277 0 1 1 -64.00000000 -38 OK ERR ERR
278 0 1 1 -64.00000000 -3 OK ERR ERR
279 0 1 0 -64.00000000 24 ERR OK ERR
280 0 1 1 -64.00000000 -22 OK ERR ERR
281 1 0 0 63.00000000 27 OK ERR ERR
282 0 1 1 -64.00000000 -24 OK ERR ERR
283 0 1 1 -64.00000000 -3 OK ERR ERR
284 1 0 1 63.00000000 -26 ERR OK ERR
285 0 1 0 -64.00000000 26 ERR OK ERR
286 0 1 1 -64.00000000 -33 OK ERR ERR
287 0 1 1 -64.00000000 -20 OK ERR ERR
288 0 1 0 -64.00000000 34 ERR OK ERR
289 0 1 0 -64.00000000 23 ERR OK ERR
290 0 1 1 -64.00000000 -11 OK ERR ERR
291 0 1 1 -64.00000000 -33 OK ERR ERR
292 0 1 0 -64.00000000 12 ERR OK ERR
293 0 1 0 -64.00000000 11 ERR OK ERR
294 1 0 0 63.00000000 3 OK ERR ERR
