Turbo Decoder End-to-End Report
symbols=6144 n_half_iter=11 f1=263 f2=480 total_outputs=6144 expected_outputs=6144
final_decision_symbols=6144 bit_errors_vs_original=40
idx_orig pi_inv bit_orig bit_int_at_pi_inv l_sys_orig l_par1_orig l_par2_int final_llr hard_dec match_orig
311 3889 1 1 -16 13 -16 63 1 OK
312 1800 0 0 5 -4 2 -64 0 OK
313 5279 0 0 4 15 6 -64 0 OK
314 2038 1 1 -7 -8 11 63 1 OK
315 4365 0 0 2 4 15 -64 0 OK
316 6116 1 1 -16 -12 -10 63 1 OK
317 1147 0 0 5 -1 -3 -64 0 OK
318 1746 0 0 12 1 -6 -64 0 OK
319 1769 0 0 4 9 -13 -64 0 OK
320 1216 1 1 -10 0 12 63 1 OK
321 87 1 1 -8 -7 -9 63 1 OK
322 4526 0 0 12 -1 -8 -64 0 OK
323 2245 1 1 -12 -15 -7 63 1 OK
324 5532 1 1 -3 9 2 63 1 OK
325 2099 1 1 5 8 14 63 1 OK
326 4234 0 0 3 -5 -12 -64 0 OK
327 5793 1 1 -9 -8 15 63 1 OK
328 632 0 0 3 7 -4 -64 0 OK
329 1039 0 0 15 5 -8 -64 0 OK
330 870 0 0 3 4 -9 -64 0 OK
331 125 1 1 -11 15 -16 63 1 OK
332 4948 1 1 -12 8 8 63 1 OK
333 3051 0 0 15 -13 -15 -64 0 OK
334 578 0 0 8 14 -12 -64 0 OK
335 3673 0 0 11 1 13 -64 0 OK
336 48 0 0 15 -14 7 -64 0 OK
337 1991 1 1 -9 15 11 63 1 OK
338 3358 0 0 12 2 0 -64 0 OK
339 4149 0 0 6 -6 7 -64 0 OK
340 4364 0 0 6 -16 11 -64 0 OK
341 4003 0 0 5 15 14 -64 0 OK
342 3066 0 0 5 -13 -1 -64 0 OK
343 1553 0 0 7 5 -7 -64 0 OK
344 5608 0 0 7 15 1 -64 0 OK
345 2943 1 1 -16 11 11 63 1 OK
346 5846 0 0 11 -6 13 -64 0 OK
347 2029 0 0 9 6 12 -64 0 OK
348 3780 0 0 12 7 3 -64 0 OK
349 4955 1 1 -4 5 -8 63 1 OK
350 5554 1 1 -9 11 14 63 1 OK
351 5577 1 1 -9 -4 12 63 1 OK
352 5024 0 0 6 -9 15 -64 0 OK
353 3895 1 1 -3 -3 -13 63 1 OK
354 2190 1 1 -14 6 -16 63 1 OK
355 6053 1 1 -6 -1 -6 63 1 OK
356 3196 1 1 -4 14 3 63 1 OK
357 5907 1 1 -4 -12 12 63 1 OK
358 1898 1 1 -15 14 2 63 1 OK
359 3457 0 0 5 3 -2 -64 0 OK
360 4440 0 0 1 0 15 -64 0 OK
361 4847 0 0 7 2 -16 -64 0 OK
362 4678 1 1 -16 -1 -16 63 1 OK
363 3933 1 1 -13 -13 -15 63 1 OK
364 2612 1 1 -10 15 10 63 1 OK
365 715 1 1 -16 15 -8 63 1 OK
366 4386 0 0 15 -11 9 -64 0 OK
367 1337 1 1 -4 -6 15 63 1 OK
368 3856 0 0 14 2 -7 -64 0 OK
369 5799 0 0 9 2 -14 -64 0 OK
370 1022 1 1 -13 4 5 63 1 OK
371 1813 1 1 -4 15 -7 63 1 OK
372 2028 0 0 7 -1 10 -64 0 OK
373 1667 0 0 6 -8 7 -64 0 OK
374 730 0 0 9 -11 1 -64 0 OK
375 5361 0 0 4 -4 -6 -64 0 OK
376 3272 0 0 10 13 15 -64 0 OK
377 607 1 1 -16 15 15 63 1 OK
378 3510 0 0 5 12 8 -64 0 OK
379 5837 0 0 -2 -2 8 -64 0 OK
380 1444 0 0 7 -5 15 -64 0 OK
381 2619 1 1 -2 -4 0 63 1 OK
382 3218 1 1 -11 -12 -12 63 1 OK
383 3241 0 0 13 7 -10 -64 0 OK
384 2688 0 0 9 -16 6 -64 0 OK
385 1559 0 0 -1 15 9 -64 0 OK
386 5998 0 0 15 15 9 -64 0 OK
387 3717 1 1 -1 13 5 63 1 OK
388 860 1 1 -6 9 12 63 1 OK
389 3571 0 0 11 1 -16 -64 0 OK
390 5706 0 0 2 -2 9 -64 0 OK
391 1121 1 1 -11 15 -7 63 1 OK
392 2104 1 1 -6 7 10 63 1 OK
393 2511 1 1 -5 8 -11 63 1 OK
394 2342 1 1 -11 -16 -14 63 1 OK
395 1597 0 0 6 -15 -6 -64 0 OK
396 276 1 1 -11 -14 -2 63 1 OK
397 4523 0 0 10 -14 14 -64 0 OK
398 2050 0 0 15 -5 -8 -64 0 OK
399 5145 0 0 5 11 -1 -64 0 OK
400 1520 0 0 10 -9 -3 -64 0 OK
401 3463 0 0 2 12 -4 -64 0 OK
402 4830 1 1 -11 -9 -3 63 1 OK
403 5621 1 1 -8 14 -9 63 1 OK
404 5836 1 1 -7 -5 6 63 1 OK
405 5475 1 1 -15 -6 11 63 1 OK
406 4538 0 0 9 -5 -9 -64 0 OK
407 3025 0 0 12 -14 -14 -64 0 OK
408 936 0 0 4 6 2 -64 0 OK
409 4415 1 1 -15 3 6 63 1 OK
410 1174 1 1 -3 -13 15 63 1 OK
411 3501 0 0 13 2 14 -64 0 OK
412 5252 1 1 -3 -9 -11 63 1 OK
413 283 1 1 -13 8 1 63 1 OK
414 882 1 1 -16 3 10 63 1 OK
415 905 1 1 -16 4 -16 63 1 OK
416 352 0 0 9 1 -6 -64 0 OK
417 5367 0 0 0 -10 8 -64 0 OK
418 3662 0 0 7 -9 3 -64 0 OK
419 1381 1 1 -9 5 -4 63 1 OK
420 4668 0 0 7 15 15 -64 0 OK
421 1235 1 1 -7 -10 -16 63 1 OK
