# idx_orig bit_orig post_llr hard
471 0 -22993.69040636 0
472 1 25998.51124874 1
473 1 30814.02665694 1
474 0 -29747.07952230 0
475 1 26360.34907455 1
476 0 -26565.66701503 0
477 0 -28000.62114845 0
478 1 26563.17786748 1
479 1 31585.07346434 1
480 1 24891.30108413 1
481 0 -23513.42102888 0
482 1 21006.07882233 1
483 1 21703.87485368 1
484 0 -20917.83793829 0
485 0 -21283.45306626 0
486 0 -27506.14880659 0
487 1 24215.73241397 1
488 0 -23834.50332578 0
489 0 -21004.59739067 0
490 1 20415.77754468 1
491 0 -18125.86312920 0
492 0 -22836.73496219 0
493 0 -26470.92632985 0
494 0 -26592.11216878 0
495 1 31400.87187300 1
496 1 21671.97184938 1
497 0 -26084.83740835 0
498 1 24194.88500053 1
499 0 -23387.75093308 0
500 1 32858.84349735 1
501 0 -27733.63595033 0
502 1 26488.03833611 1
503 0 -19792.83917241 0
504 1 26499.27259215 1
505 1 23574.70429647 1
506 1 26488.02729509 1
507 1 31334.88435834 1
508 0 -22819.97793958 0
509 1 25668.39831658 1
510 0 -26244.36655430 0
511 1 27282.42390901 1
512 1 18709.58676579 1
513 1 28517.91376427 1
514 1 30582.20779793 1
515 1 22765.89097938 1
516 0 -30152.26306604 0
517 0 -28262.39182716 0
518 0 -29393.38429262 0
519 0 -22227.67625613 0
520 1 29786.29906424 1
521 0 -33795.50600321 0
522 0 -28277.56994266 0
523 0 -32600.45131506 0
524 0 -30567.68035332 0
525 0 -31370.05899936 0
526 0 -27000.09834834 0
527 0 -34881.70115232 0
528 0 -36214.17714683 0
529 0 -32230.53664508 0
530 1 39394.97641628 1
531 0 -30617.56172328 0
532 0 -39903.12488263 0
533 0 -32417.63360551 0
534 1 37745.27240619 1
535 1 36623.10465482 1
536 1 35640.44669253 1
537 1 38429.20865246 1
538 0 -32591.98684618 0
539 0 -35600.81113144 0
540 1 30113.00233724 1
541 1 36212.37517379 1
542 1 37201.60975184 1
543 1 33033.54063595 1
544 1 29813.42387952 1
545 0 -26434.49221420 0
