# idx_int bit_int post_llr_q hard
1368 1 63 1
1369 0 -64 0
1370 0 -64 0
1371 0 -64 0
1372 0 -64 0
1373 0 -64 0
1374 0 -64 0
1375 0 -64 0
1376 1 63 1
1377 1 63 1
1378 0 -64 0
1379 1 63 1
1380 0 -64 0
1381 0 -64 0
1382 1 63 1
1383 0 -64 0
1384 1 63 1
1385 0 -64 0
1386 0 -64 0
1387 0 -64 0
1388 0 -64 0
1389 1 -64 0
1390 0 -64 0
1391 0 -64 0
1392 1 63 1
1393 0 -64 0
1394 0 -64 0
1395 1 63 1
1396 0 -64 0
1397 1 63 1
1398 0 -64 0
1399 1 63 1
1400 0 -64 0
1401 1 63 1
1402 0 -64 0
1403 0 -64 0
1404 1 63 1
1405 0 -64 0
1406 1 63 1
1407 1 63 1
1408 1 63 1
1409 1 63 1
1410 1 63 1
1411 1 63 1
1412 0 -64 0
1413 0 -64 0
1414 0 -64 0
1415 0 -64 0
1416 1 63 1
1417 1 63 1
1418 0 -64 0
1419 1 63 1
1420 0 -64 0
1421 1 63 1
1422 1 63 1
1423 0 -64 0
1424 1 63 1
1425 1 63 1
1426 1 63 1
1427 0 -64 0
1428 1 63 1
1429 1 63 1
1430 1 63 1
1431 0 -64 0
1432 1 63 1
1433 1 63 1
1434 1 63 1
1435 0 -64 0
1436 0 -64 0
1437 1 63 1
1438 0 -64 0
1439 1 63 1
1440 0 -64 0
1441 0 -64 0
1442 0 -64 0
1443 1 63 1
1444 0 -64 0
1445 1 63 1
1446 0 -64 0
1447 1 63 1
1448 1 63 1
1449 0 -64 0
1450 0 -64 0
1451 0 -64 0
1452 1 63 1
1453 1 63 1
1454 1 63 1
1455 0 -64 0
1456 1 63 1
1457 1 63 1
1458 0 -64 0
1459 0 -64 0
1460 0 -64 0
1461 1 63 1
1462 1 63 1
1463 1 63 1
1464 1 63 1
1465 1 63 1
1466 0 -64 0
1467 1 57 1
1468 1 63 1
1469 1 63 1
1470 1 63 1
1471 1 63 1
1472 0 -64 0
1473 0 -64 0
1474 0 -64 0
1475 1 63 1
1476 1 63 1
1477 1 63 1
1478 1 63 1
1479 0 -64 0
1480 1 63 1
1481 1 63 1
1482 1 50 1
1483 0 -64 0
1484 1 63 1
1485 1 63 1
1486 0 -64 0
1487 0 -64 0
1488 1 63 1
1489 0 -64 0
1490 1 63 1
1491 1 63 1
1492 0 -64 0
1493 0 -64 0
1494 1 63 1
1495 0 -64 0
1496 0 -64 0
1497 1 63 1
1498 1 63 1
1499 0 -64 0
1500 1 63 1
1501 1 63 1
1502 1 63 1
1503 0 -64 0
1504 1 63 1
1505 1 63 1
1506 0 -64 0
1507 1 63 1
1508 0 -64 0
1509 0 -64 0
1510 1 63 1
1511 1 63 1
1512 0 -64 0
1513 1 63 1
1514 1 63 1
1515 1 63 1
1516 1 63 1
1517 0 -64 0
1518 0 -64 0
1519 0 -64 0
1520 1 63 1
1521 0 -64 0
1522 1 63 1
1523 0 -64 0
1524 0 -64 0
1525 1 63 1
1526 1 63 1
1527 1 63 1
1528 1 63 1
1529 1 63 1
1530 0 -64 0
1531 0 -64 0
1532 0 -64 0
1533 0 -64 0
1534 1 63 1
1535 1 63 1
1536 0 1 1
1537 1 63 1
1538 0 -64 0
1539 1 63 1
1540 1 63 1
1541 0 -64 0
1542 0 -64 0
1543 1 63 1
1544 0 -64 0
1545 1 63 1
1546 0 -64 0
1547 1 63 1
1548 0 -64 0
1549 1 63 1
1550 0 -64 0
1551 0 -64 0
1552 1 63 1
1553 0 -64 0
1554 1 63 1
1555 1 63 1
1556 0 -64 0
1557 1 63 1
1558 1 63 1
1559 1 63 1
1560 1 63 1
1561 0 -64 0
1562 1 63 1
1563 1 63 1
1564 0 -64 0
1565 1 63 1
1566 0 -64 0
1567 1 63 1
